'Case','Image','Detector','Descriptor','Matcher','Selector','Detector Duration (ms)','Descriptor Duration (ms)','Matching Duration (ms)','Keypoints','Mean Size','StdDev Size','Matches'
11,1,FAST,BRIEF,BF,KNN,1.22954,0.928562,0.589063,427,7,0,320
11,2,FAST,BRIEF,BF,KNN,1.25409,0.882159,0.562071,404,7,0,332
11,3,FAST,BRIEF,BF,KNN,1.218,0.951049,0.538327,423,7,0,299
11,4,FAST,BRIEF,BF,KNN,1.59184,0.843422,0.560058,386,7,0,331
11,5,FAST,BRIEF,BF,KNN,1.2284,0.881804,0.527858,414,7,0,276
11,6,FAST,BRIEF,BF,KNN,1.24127,0.92873,0.542944,418,7,0,327
11,7,FAST,BRIEF,BF,KNN,1.23865,0.960057,0.533552,406,7,0,324
11,8,FAST,BRIEF,BF,KNN,1.27616,0.862748,0.549131,396,7,0,315
11,9,FAST,BRIEF,BF,KNN,1.30275,0.883396,0.521514,401,7,0,307
12,1,FAST,ORB,BF,KNN,1.58383,2.85335,0.543951,427,7,0,306
12,2,FAST,ORB,BF,KNN,1.22969,2.82235,0.594137,404,7,0,314
12,3,FAST,ORB,BF,KNN,1.51124,2.83746,0.526471,423,7,0,295
12,4,FAST,ORB,BF,KNN,1.23184,2.80122,0.508324,386,7,0,318
12,5,FAST,ORB,BF,KNN,1.23634,2.83126,0.49103,414,7,0,284
12,6,FAST,ORB,BF,KNN,1.25718,2.81623,0.531211,418,7,0,312
12,7,FAST,ORB,BF,KNN,1.25875,2.81933,0.524146,406,7,0,323
12,8,FAST,ORB,BF,KNN,1.27611,2.80456,0.497755,396,7,0,306
12,9,FAST,ORB,BF,KNN,1.2818,2.8068,0.493154,401,7,0,304
13,1,FAST,FREAK,BF,KNN,1.2599,28.3768,0.680979,427,7,0,251
13,2,FAST,FREAK,BF,KNN,1.23274,28.3422,0.662278,404,7,0,247
13,3,FAST,FREAK,BF,KNN,1.23389,28.4152,1.39715,423,7,0,233
13,4,FAST,FREAK,BF,KNN,1.55708,27.9374,0.706938,386,7,0,255
13,5,FAST,FREAK,BF,KNN,1.24626,28.003,0.534945,414,7,0,231
13,6,FAST,FREAK,BF,KNN,1.26702,28.5014,0.671242,418,7,0,265
13,7,FAST,FREAK,BF,KNN,1.2696,28.0435,0.846287,406,7,0,251
13,8,FAST,FREAK,BF,KNN,1.27755,28.2365,0.567349,396,7,0,253
13,9,FAST,FREAK,BF,KNN,1.28609,28.348,0.617773,401,7,0,247
14,1,FAST,SIFT,BF,KNN,1.27134,15.0935,1.15225,427,7,0,316
14,2,FAST,SIFT,BF,KNN,1.23159,15.1357,0.859007,404,7,0,325
